"","text","created_at","lang"
"1","Let's come together and stay strong during this global health crisis. Being racist in the wake of #coronavirus is not a solution to the problem.

#IAmNotAVirus #ActToChange

https://t.co/Vl1WBeXH1y","2020-03-13T14:01:30.000Z","en"
"2","""Asians are seen as #Coronavirus carriers"" - but they shouldn't be! 🚫

#Xenophobia #Racism #ActToChange 

https://t.co/xtPLQ3r95C","2020-03-12T19:10:12.000Z","en"
"3","🗣️ #Coronavirus resources are now available on the #ActToChange website.

Learn more here about how the #COVID19 scare has led to increase in incidents of #bullying and #racism, and how we can stop this:

https://t.co/ZPxC0fzsYU","2020-03-12T17:00:52.000Z","en"
"4","“I feel like every time I cough, people are going to be uncomfortable with that. I shouldn’t have to feel that way.”

Ostracizing and avoiding #AsianAmerican is NOT a cure for the #coronavirus.

[via @latimes]

#FightXenophobia #ActToChange

https://t.co/TtYCAlAg7M","2020-03-12T16:01:20.000Z","en"
"5","🚨IMPORTANT Resource for Educators:

Please read this to understand the historical context of the #coronavirus and the #AAPI population and educate students about #xenophobia and #racism.

#ActToChange

https://t.co/xHClfjrsGn","2020-03-11T18:00:57.000Z","en"
"6","An amazing #ActOfKindness by Quaden's family, because ""Disneyland isn’t going to stop the #bullying.""

👏

#ActToChange #StopBullying

https://t.co/Uekas7hmOK","2020-03-11T16:02:51.000Z","en"
"7","It's simple: Not all #AsianAmerican people around you are a carrier of the #Coronavirus. 

#IAmNotAVirus #ActToChange #Xenophobia

@nytimes 

https://t.co/mUfgcYMwdM","2020-03-11T14:01:05.000Z","en"
"8","""The global response to #COVID19 has made clear that the fear of contracting disease has an ugly cousin: #Xenophobia.""

From @NPRCodeSwitch, an episode on how #coronavirus is exposing other deadlier viruses in human mentality.

#ActToChange #FightBullying

https://t.co/FUKRIwmec2","2020-03-10T21:25:04.000Z","en"
"9","#Kindness can, and should, be taught to children.

#ChooseKindness #ActToChange #StopBullying

https://t.co/ruvEKyXWCi","2020-03-10T16:02:27.000Z","en"
"10","#Coronavirus fears have instantly turned the #ModelMinority #AAPI population into #YellowPeril.

""But we are neither your model minority nor an outside threat"", writes @MatthewLeeMPH for @NBCNews.

#ActToChange #FightBullying

https://t.co/1XjKDymX70","2020-03-10T14:00:32.000Z","en"
"11","The worst virus of all really is #xenophobia.

Let's #ActToChange our perspective and stop #bullying in the name of health.

https://t.co/D0xlh9rqjh","2020-03-07T13:00:29.000Z","en"
"12","Amidst stories of extreme cases of #bullying, #harassment and #racism rising from the #COVID19 fears, #ActToChange urges the public to stay informed and not resort to #xenophobia.

Read our full statement on the #Coronavirus here:

https://t.co/c3gNMYEygm","2020-03-06T21:00:21.000Z","en"
"13","It is our commitment to guarantee that the next generation learns NOT to #bully each other, but rather to love and accept each other's differences.

#ActToChange #StopBullying

https://t.co/5jozRWYiRL","2020-03-06T19:02:04.000Z","en"
"14","Amidst a rise in #bullying and #racism against #AAPI people, let's #ActToChange the way we are perceiving the situation. Let's stay informed and unbiased:

https://t.co/Bf7HvbpY5U","2020-03-06T14:01:18.000Z","en"
"15","These messages of hate are unbelievable and shocking. Thank you to the contestants of @BachelorABC for speaking up about #racism and #cyberbullying.

Let's #ActToChange these behaviors that can hurt anyone, adult or children alike.

https://t.co/gMbfielRcO","2020-03-05T16:00:53.000Z","en"
"16","It is insensible to avoid #AsianAmerican restaurants as a reaction to the #Coronavirus scare. The owners and staff at these places are American and most of them may never even have been to China. 

#WashYourHands #ActToChange #StopBullying

https://t.co/wHpSjVYGHm","2020-03-03T19:01:35.000Z","en"
