"","text","created_at","lang"
"1","#AsianAmericans and all people of #Asian descent worldwide, please stay vigilant and safe

#stopAAPIhate
#theycantburnusall
#becool2asians https://t.co/a3gsEchdVd","2021-01-14T23:34:15.000Z","en"
"2","Happy New Year to all those who stood with is us in 2020! #becool2asians #iamnotavirus #racismisavirus #washthehate https://t.co/QAz0IK5lZU","2021-01-01T01:26:04.000Z","en"
"3","@MarshaBlackburn 17K likes, I'm scared for all #AsianAmericans and other people of #Asian descent who live in #Tennessee. Do you have the heart to not have the same ill will to them or give condolences to the future victims of your loyalists?

#theycantburnusall 
#stopAAPIhate
#becool2asians","2020-12-04T06:34:26.000Z","en"
"4","Hi @ChangShen16 @xav68696618 @MononokeSpirits @washhatenow please help me to report @kietchayla , and cut off his hate speech. Thanks.

#racismisavirus 
#becool2asians 
#stopAAPIhate","2020-09-26T06:14:57.000Z","en"
"6","Please #BeCool2Asians  @APAMCommittee https://t.co/NmZdZL7dzH https://t.co/0FPLcikezG","2020-08-21T01:24:14.000Z","en"
"7","This Is America:  An update, a call to action, and a message of hope and encouragement #ThisIsAmerica #hateisavirus #racismisavirus #washthehate #stopthehate #unapologeticallyasian #iamnotavirus #becool2asians #IAmNotCovid19 #HealthNotHate #MakeNoiseToday

https://t.co/N52tKoCH2j","2020-08-13T21:13:42.000Z","en"
"9","@reappropriate The same thing happened to me in LA - it’s why I started the #becool2asians campaign. We’ve also coordinated a directory of mostly AAPI therapists who have volunteered free therapy for those affected by anti-Asian hate (or any other racism) Pls retweet so we can be of service! https://t.co/qgib8PGTkd","2020-08-08T05:46:22.000Z","en"
"11","Pls retweet to help us be of service #becool2asians is offering free mental health services to frontline healthcare workers. We need to take care of the folks who are risking their lives to save ours. https://t.co/AIP510VIlG","2020-07-25T14:48:16.000Z","en"
"12","Thank you @tzima8 @JonJonBriones @JujuChangABC @LucyLiu  and everyone for lifting your voices to #BeCool2Asians @APAMCommittee #Solidarity #sagaftramembers https://t.co/NmZdZKPCI9","2020-07-21T18:54:38.000Z","en"
"13","Thank you @originalspin @JujuChangABC and everyone for your service. #RepresentationMatters #BeCool2Asians https://t.co/Vkqg3mHMzT","2020-07-21T18:24:59.000Z","en"
"14","In case anyone needs clarification, Yellow Facing your dog and then hash tagging a bunch of racist terms is not ok, no matter how cute your dog is... #becool2asians #AntiAsianRacism #racism #racist #racistexposed https://t.co/dJNQNvs1H9","2020-07-17T07:35:45.000Z","en"
"15","@ANANursingWorld #becool2asians is offering free therapy for people of color AND frontline healthcare workers of any ethnicity. Pls help us spread the word so we can be of service. https://t.co/1EedVX3H6J","2020-07-17T03:13:23.000Z","en"
"16","@AFSPLACenCoast #becool2asians is offering free therapy for BIPOC. https://t.co/1EedVX3H6J","2020-07-17T03:10:04.000Z","en"
"17","@_HGAPS #becool2asians is offering free therapy for BIPOC. https://t.co/1EedVX3H6J","2020-07-17T03:07:31.000Z","en"
"18","@TWLOHA #becool2asians is offering Free Therapy for BIPOC! https://t.co/1EedVX3H6J","2020-07-17T03:05:23.000Z","en"
"19","@laulyyyyyy #becool2asians is offering FREE therapy for people of color. Pls help us be of service. https://t.co/LXiEuoRcNg","2020-07-17T03:04:32.000Z","en"
"20","@NAMICommunicate #becool2asians is offering FREE therapy for people of color. All volunteer group, no strings attached. Pls retweet so we can be of service! #MinorityMentalHealthMonth https://t.co/1EedVX3H6J","2020-07-17T03:03:23.000Z","en"
