"","text","created_at","lang"
"1","My fellow brothers and sisters, I pray every day we should see an end to this #COVID19Pandemic and equally for the #hatepandemic I ask you to please reach out if you experience any sort of discrimination whether by law enforcement or being denied services/entry #hateisavirus","2020-04-06T01:28:31.000Z","en"
"2","It came to my attention that the mayor of @VilleBoisbriand and the @PoliceRIPTB distributed a memo to all local essential establishments to deny entry to ""jews"" and to call police if one shows up. @CdnHumanRights @RightsGAC @CDPDJ1 @bnaibrithcanada #hateisavirus #StopTheHate","2020-04-06T00:23:04.000Z","en"
"3","Let's call out the discriminators: @IGAQC franchise at Faubourg Boisbriand denies entry to people because they're jewish @sobeys #Hateisavirus #StopTheHate #StopTheSpread https://t.co/g9UdrDaX3M","2020-04-06T00:14:03.000Z","en"
"4","@FrancesWangTV we always notice the losers at life trolls are complete cowards. they hide behind an avatar and their parents basement
Frances, you look great in the t-shirt
We are a 1/5 into this century, and the hatred, prejudice, bias, xenophobia, racism needs to be eradicated.
#HateIsAVirus","2020-04-05T20:29:41.000Z","en"
"5","A 2 year old child was stabbed in a #hatecrime! 😞

We need to #StopAAPIHate. We will solve this pandemic only when we come together as a community.

#HateIsAVirus #ActToChange

https://t.co/gNbzlF8whl","2020-04-05T18:10:06.000Z","en"
"6","We need to stay in solidarity in these times. Let's work together to reduce these horrifying numbers.

Let's #StopAAPIHate.

#HateIsAVirus #ActToChange

https://t.co/6RMbh3HTUt","2020-04-05T16:00:46.000Z","en"
"7","@FrancesWangTV No. I didn’t “come on your page” idiot. You used the hashtag #Hateisavirus, this is what I was following. Don’t want comments, get yourself off Twitter. To entitled to listen to anyone’s opinion? Stop doing your job as a Z list reporter no one has heard of. Ciao x","2020-04-05T15:05:18.000Z","en"
"8","@Swamy39 difficult to believe that you are a human. Shame on you, your education and your upbringing.
#hatespeech  #Hateisavirus https://t.co/yDj6tRl5A4","2020-04-05T12:17:35.000Z","en"
"10","This article exposes the true face of BJP IT Cell !!
#Hateisavirus
Indians are fighting against coronavirus and BJP IT cell is fighting against Indians https://t.co/OXRpWsBvpi via @ThePrintIndia","2020-04-05T09:00:04.000Z","en"
"11","@Jerusalem_Post Controversial? Why such animosity? And what is wrong with a good relationship between the #US and #SaudiArabia? You don't see anything wrong with the #US - #Israel relationship? You should be partial to your neighbors? Shouldn't you? #Hateisavirus #CoronavirusPandemic","2020-04-05T05:33:05.000Z","en"
"12","@ronlyonphoto @washingtonpost @realDonaldTrump Are you serious rn? @ronlyonphoto #Hateisavirus","2020-04-05T04:59:12.000Z","en"
"13","@SchoenfeldKelly You say in your personal profile you are honest and have integrity...you sir may need to go back to your encyclopedia/Wikipedia as many of your posts lack both. #Hateisavirus","2020-04-05T04:21:54.000Z","en"
"14","@santamonicacity What is making me anxious is all the racism and xenophobia against Asian-Americans. And Santa Monica is doing NOTHING about it #Hateisavirus #IamNotAVirus #WashTheHate https://t.co/vKmrDl01RF","2020-04-05T01:56:09.000Z","en"
"15","@kawalpreetdu Welcome to NEW INDIA
#FightAgainstHATE 

#hate is more dangerous then #Corona 

#Hateisavirus 
#HATEVIRUS","2020-04-05T01:46:37.000Z","en"
"16","Asian Americans, especially in the Bay Area of CA are experiencing lots of hate. Thanks @DionLimTV of @ABC7 highlighting the xenophobia. #HateIsAVirus https://t.co/pVdXuhzLFv","2020-04-04T22:23:49.000Z","en"
"18","This. #Hateisavirus https://t.co/PNKxXnlH07","2020-04-04T21:48:28.000Z","en"
"19","Surely by now people realize this President is EVIL.  He truly must be the Devil himself. With all my heart I do believe he is an Antichrist. God help us all. @realDonaldTrump #antichrist #evil #Hateisavirus #PeopleAreDying #COVID19","2020-04-04T21:35:31.000Z","en"
"20","And yes that make a lot of sense so relevant in today's context, doens't matter if you support right wing or left wing.. Respect don't loose your soul ....
#Hateisavirus #PositiveVibes https://t.co/Mq1P6EJXtu","2020-04-04T21:17:17.000Z","en"
"21","It's important for #AsianAmerican people to be extra alert these days in public.

Take a look at these self-care tips: stay connected with friends, take a break from the news, and put your safety first.

#HateIsAVirus #ActToChange

https://t.co/hATJwekrkI","2020-04-04T21:05:06.000Z","en"
"22","Thank you @AP and @nytimes for spreading the word. 🙏 @WashTheHate #WashTheHate #RacismIsAVirus #HateIsAVirus 

https://t.co/Iepvq0DxdH","2020-04-04T20:35:42.000Z","en"
"23","Laney College is proud to be an Asian American, &amp; Native American Pacific Islander serving institution. We stand in solidarity with communities that are united to combat racism and xenophobia 

#HateIsAVirus #RacismIsAVirus 
#WeStandWithYou #UnitedWeStand https://t.co/ZHGweOOVDr","2020-04-04T20:11:15.000Z","en"
"24","Being Asian-American, specifically Chinese-American, is a huge part of who I am. 

Despite all the hatred, prejudice, bias, xenophobia, racism, whatever nasty words you want to call it...I’ve never been prouder to be Phenomenally Asian ❤️. #HateIsAVirus https://t.co/gEJJgUezsv","2020-04-04T20:11:07.000Z","en"
"25","We think that it can't happen to us, that we see stuff like this on the news only.

But anti-Asian #hatecrimes are very real. 

Stay protected and let's work together to #StopAAPIHate.

@jaesonma 🙌

#HateIsAVirus #ActToChange

https://t.co/keP8maVki8","2020-04-04T18:00:33.000Z","en"
"26","Thank you, @nytimes and @TheRNKyle for spreading the word. 

#RacismIsAVirus #Hateisavirus #WashTheHate #IAmNotCOVID19

https://t.co/oNedWYwDcm","2020-04-04T16:51:33.000Z","en"
"27","Thank you to artist @chungwoolrim for depicting #coronavirus related #racism in her artwork! 

#HateIsAVirus #ActToChange #IAmNotAVirus https://t.co/pBMXZRCFx9","2020-04-04T16:00:56.000Z","en"
"28","@aajtak

For GOD'S sake, shut your hate propaganda. Riots karwaye bina nahi maanogey?
Iss se better toh antakshari hi khel lo. Shame on you guys.

#mediavirus #Media_Virus #hatespeech #Hateisavirus #MediaPandemic","2020-04-04T15:57:37.000Z","en"
"29","HATE produce HATE only. Try whatever way HATE will produce HATE only. 

Can't even change gender.

#hatemongers #HateSpeech
#Hateisavirus","2020-04-04T15:49:36.000Z","en"
"30","Chinese people are not your enemy. Fellow Americans, please stop with the hate crimes against Asians. #Hateisavirus #CoronavirusPandemic #TrumpPandemic https://t.co/XbCK0gs3C6","2020-04-04T15:43:45.000Z","en"
"31","Chinese people are not your enemy. Fellow Americans, please stop with the hate crimes against Asians. #Hateisavirus #CoronavirusPandemic #TrumpPandemic https://t.co/O98aqkoi2A","2020-04-04T15:43:35.000Z","en"
"32","Made a lil skit! Full YT video in my bio! It’s time our community STAND UP ✊
#COVID2019 #CoronavirusPandemic #comedy #parody #Hateisavirus https://t.co/H9IBANXfGP","2020-04-04T15:35:24.000Z","en"
"33","@Bravo3981 @WCheesemaker @LonnieTampa @SpeakerPelosi Your opinion is obviously formed on the close-minded #TDS sector of our population. #Hateisavirus that infected #HillaryLovers when she lost to a bigger personality with large platform of promises that Hillary scoffed at. He's keeping promises and you can't get past #HillaryLost.","2020-04-04T12:55:06.000Z","en"
"34","(10/10) It's a bad time right now you'll give a literal 2/3 of the Earth's population a lot of hate, or a lot of appreciation. We can get through this without harming each other more than we usually do. #CoronaTimes #GreatAwakening #Hateisavirus","2020-04-04T10:03:01.000Z","en"
"35","#Hateisavirus  Confronting hate crimes against Asian Americans in the San Francisco Bay Area - a virtual town hall from @abc7newsbayarea https://t.co/h1QX9oZszX","2020-04-04T04:52:16.000Z","en"
"36","Hate is a virus. I stand with our fellow Asian American brothers and sisters. This is my brilliant former student. #hateisavirus #AsianAmerican #unity #SpreadLoveNotHate #empathy https://t.co/cu52nvfRQp","2020-04-04T04:31:33.000Z","en"
"38","Truth is bitter

Only daring #patriots speakup

@gurdeepsappal 

#CoronavirusOutbreak #COVID2019 #Covid19India #doctors #DoctorWho #CoronaUpdatesInIndia #CoronavirusLockdown #hindumuslim #Hateisavirus #Muslims #NizamuddinIdiots @BDUTT @sardesairajdeep @Simi_Garewal @Nidhi https://t.co/wDfLrb7um4","2020-04-04T03:37:37.000Z","en"
"39","We are fighting with two viruses: #COVID2019 and hate spreaders
#Hateisavirus #COVID19Pandemic #COVID2019india 
Help each other and be kind. Most important is maintain #SocialDistancing , ignore hate spreaders and #FakeNews","2020-04-04T03:37:29.000Z","en"
"40","Dear Andrew - Racism was the first virus, and there's no cure for that | Richard Leong https://t.co/UWUPB6N2cA #AntiAsianRacism #COVID19 #covidstruggles #hateisavirus @AndrewYang #andrewyang @washingtonpost","2020-04-04T03:11:09.000Z","en"
"42","If you're committing hate crime against Asians, you're part of a worse virus which is hate. #Hateisavirus","2020-04-04T01:40:36.000Z","en"
"44","#HATEISAVIRUS | @atomicmari

""A reminder to be kind. That your voices and actions matter and carry weight. That love and empathy are #1 ❤️""⠀⠀⠀⠀⠀⠀⠀⠀⠀ https://t.co/eHIKTYLS5z","2020-04-04T01:01:05.000Z","en"
"45","Racism is never acceptable. Our Asian brothers and sisters are suffering due to divisive, xenophobia rhetoric. Click the link to learn how you can help. #Hateisavirus https://t.co/d3V3Apfel9","2020-04-04T00:41:45.000Z","en"
"46","Apparently some ppl don't think this is good but meh don't really care 😗
#washthehate @WashTheHate
#politicalart  #sociallyconsciousart
#comicart  #conceptart #characterdesign  #designer  #asianartist #RacismIsAVirus #Hateisavirus https://t.co/qTjqL4NeaM","2020-04-04T00:03:49.000Z","en"
"47","Listen #UncleYang, kowtowing is not the way we stop racism.  Assimilating does not stop #racist attacks just because we wear the flag or not.  Being #AsianAmerican and contributing to society is as American as it gets. #HateIsAVirus #IAmNotAVirus

https://t.co/YGMFxH0E3C https://t.co/o8ZZwNcdQ9","2020-04-03T23:51:00.000Z","en"
"48","You hear that you racists mofos! #NYCstrong #RacismIsAVirus #Hateisavirus #washthehate #loveislove https://t.co/1sVJad5gPh","2020-04-03T23:49:27.000Z","en"
"49","Free virtual training opportunity! Join us and @iHollaback for a bystander intervention workshop to stop anti-Asian and Asian American harassment.

April 8 training: https://t.co/NC4gZ8ePme
April 9 training: https://t.co/Qwr3Rdirw2

#COVID19 #HateisaVirus #VirusesDontDiscriminate https://t.co/hsPjQRChnb","2020-04-03T23:17:44.000Z","en"
"50","THIS! I’ve seen so much hate aimed at anyone that “looks” Asian, blaming #COVID19 on them... what is wrong with people?! #StopHate #Hateisavirus #COVID19Pandemic https://t.co/LydFDc6KBI","2020-04-03T22:04:30.000Z","en"
"51","Jesus. Banana much @AndrewYang? Get thee to an Asian American Studies 101 class ya white worshipping ass. #RacismIsAVirus #HateIsAVirus #WashTheHate https://t.co/xFguuFOvbm","2020-04-03T21:45:27.000Z","en"
"52","@RedDogT3 When you poor as shit man...options are scarce and some people just gotta eat what they can get man. I agree its nasty to us but for them...its their way to live. I am Vietnamese born in America and I would never eat that and im thankful I am better off. #hateisavirus","2020-04-03T21:36:24.000Z","en"
"55","#Contagion #Hateisavirus
""He's taught in his school
From the start by the rule
That the laws are with him
To protect his white skin
To keep up his hate
So he never thinks straight
'Bout the shape that he's in
But it ain't him to blame"" 
#OnlyaPawnintheirGame
#BobDylan","2020-04-03T19:56:43.000Z","en"
"56","Hey Tweople &amp; Twitterverse let’s identify this racial hate criminal &amp; shame her or get your arrested! Her friend was videoing the crime &amp; may have uploaded to #Instagram #FacebookLive or #TikTok #covid19 #Hateisavirus #hatecrimes #racism #stupidity https://t.co/DyAVTS2HEv","2020-04-03T19:52:33.000Z","en"
"57","#HATEISAVIRUS is a movement to combat racism and xenophobia against Asians fueled by COVID-19. Learn more and join us in this movement by going to https://t.co/CYfFbCF5O9. https://t.co/HxdUv3XtLS","2020-04-03T19:51:17.000Z","en"
"59","Respected @narendramodi ji &amp; @PMOIndia I request you to please stop tik-tokiers on spreading hateness in social media through hatred videos.
Plz look into it which is spoiling our societies and our many more generations. @HMOIndia
#BanTikTokInIndia #Hateisavirus #CODVID19","2020-04-03T17:45:38.000Z","en"
"60","Stop spread of hate crimes against Asians, #SFSU Prof. Jeung writes in @seattletimes with @KulkarniManju, Cynthia Choi https://t.co/LPlwZFsHmq #HateIsAVirus https://t.co/D4OusTy8VB","2020-04-03T17:45:12.000Z","en"
"61","This entire thread!  Done with SJW woke #AsianAmerican talking heads speaking for us while it's clear that they're still trying to find their voice

#MoveHumanityForward #HateIsAVirus #RevolutionOfReason https://t.co/g0PJMezAf2","2020-04-03T17:08:56.000Z","en"
"62","The conversation w/ our wise one @DoctorYasmin continues - she's spreading even more wisdom...

See it, hear it ⬇️ #Hateisavirus #asktbt https://t.co/ZbYsPfTSLy","2020-04-03T15:57:31.000Z","en"
"63","This was so incredibly well written, well thought, and well presented!!! Please have a read of this thread &amp; please retweet if it pops up on your TL! 📢✨ 
#COVID19 #GoldAlert #HateIsAVirus https://t.co/202PDGr3ys https://t.co/fz9h3EWdjp","2020-04-03T15:03:42.000Z","en"
"64","#HATEISAVIRUS | @sarajbenincasa

""If you are Asian American and you are feeling the tension in the air or getting harassed these days, there are plenty of us out here who don’t share your ethnic background but do share your belief that racism is fuckshit."" https://t.co/75wle6In2W","2020-04-03T15:01:21.000Z","en"
"66","And this kinda hate wow kya alfaaz hai mashallah alhamdulillah. Oh wait did this tweet get to muslim for you as well? 
#Hateisavirus 
#Islamophobia https://t.co/Bv9IvXsEV1","2020-04-03T09:35:01.000Z","en"
"67","They Love hate #Hateisavirus https://t.co/nbD29IZmFa","2020-04-03T08:10:28.000Z","en"
"68","#Hateisavirus #Indian_Modia_Is_Terrorist 
#indian_Muslim #KashmirUnderModiCorona 

This Indian leadership is putting their country under fire which can never be extinguished. civilize world is monitoring. It s not 17, or 18th century. We r living in a global village https://t.co/RZWHzfhftl","2020-04-03T06:56:37.000Z","en"
"69","Need of  the hour is not only to be in quarantine to save our body but also to quarantine our mind from communal hate , inhumanity  and hate religion to save our soul...
#COVIDIDIOT #CoronaLockdown #FightAgainstCoronavirus #savehumanityduringlockdown #Hateisavirus #CommunalVirus","2020-04-03T06:42:22.000Z","en"
"70","Yes, #education does not imply #humanity is a theory that most of us have come to an agreement with quite long ago. Here is an epitome reiterating that theory!

#HateSpeech by @Swamy39 #Hateisavirus https://t.co/TTMf6SSCdT","2020-04-03T06:22:05.000Z","en"
"76","Make it 1100+1...a woman coughed onto my face intentionally at whole foods, and she followed me around just so she could do it again... and this is in silicon valley, no less. Hate spreads as quickly as the virus. #Hateisavirus https://t.co/8RMLEWFbKe","2020-04-03T03:46:36.000Z","en"
"77","Scary #BayArea @abc7newsbayarea interactive ""Race and #COVID19"" townhall with @abc7kristensze today. So chilling for me to see. 1)1100 #AsianAmerican hate crimes reported in 2 wks here 2)Many involve being spat &amp; coughed on 3)#Hateisavirus. Click below. https://t.co/Pjkb2QV12d","2020-04-03T03:33:20.000Z","en"
"79","@LalaineLittle @katchow Wow! This is incredible!

Thank you for taking the time to give consideration to context 🙏🏽

This has been rare in my interaction with #AsianAmerican voices on Twitter

Thank you for giving to @HumanityForward !!

#MoveHumanityForward #HateIsAVirus","2020-04-03T02:35:49.000Z","en"
"80","A middle-aged, potbellied, balding Caucasian man carrying a jumbo soda and NOT wearing a mask just yelled at me in a TJ parking lot because “...YOU guys f*cking brought it here!!” Sir, I’m American and we gave everyone diabetes. You of all people should know that. #Hateisavirus","2020-04-03T02:28:41.000Z","en"
"81","Taking part in 2 Movements:   The first one is the hashtag #HateIsAVirus Movement, which to quote, “#hateisavirus is a movement to combat racism and xenophobia against Asians fueled by COVID-19.” STOP racism, and… https://t.co/HuOKZH8Lgi","2020-04-03T01:03:43.000Z","en"
"82","I love that @AlanZmusic is being vocal of the anti-Asian racism that is occurring. He did a freestyle rap on the subject! #HateIsAVirus https://t.co/PnJbd3d6qk","2020-04-03T00:32:45.000Z","en"
"83","#HATEISAVIRUS | @hellomeganlee 

“Why hate when we can love? In times of crisis we must work together not tear eachother down.” @ Los Angeles, California https://t.co/CrwhlnMZ4r","2020-04-03T00:25:46.000Z","en"
"85","#HateIsAVirus get well soon!","2020-04-02T23:57:11.000Z","en"
"86","The personal is ALWAYS political and to my Asian American friends who have thought that I “talked about race too much” or that “not everything is about race” with Anti-Asian racism on the rise, y’all cannot ignore politics anymore. #WashTheHate #HateIsAVirus","2020-04-02T23:47:39.000Z","en"
"88","As so many doctors have said, #coronavirus does not discriminate- but it lays bare the racism and other discrimination in our society. 
#Hateisavirus 
#WashTheHate","2020-04-02T23:26:14.000Z","en"
"90","Watching this amazing pane &amp; Town Hall now #StopCoronaRacism #Hateisavirus #stopaapihate Town Hall is on Facebook. See the link.. https://t.co/i89zSO5DTa","2020-04-02T23:19:41.000Z","en"
"91","Thank you to @HouseDemocrats Chairman @RepJeffries, @TheBlackCaucus Chair @RepKarenBass &amp; @HispanicCaucus Chair @JoaquinCastrotx for standing with #CAPAC to denounce anti-Asian hate. #StopAAPIHate #HateIsAVirus #WashTheHate https://t.co/NMmoQOjRCl","2020-04-02T23:13:49.000Z","en"
"92","Thanks for inviting me to participate in the #Hateisavirus campaign because of my angry tweets! Nobody has to prove a damn thing about their “American-ness” and these racists should be punished. https://t.co/hjOyQJj8pl","2020-04-02T23:06:23.000Z","en"
"93","Sending all my support to @abc7newsbayarea team and @DionLimTV for championing this story and putting together this conversation #manystoriesmatter #hateisavirus. Be a part of it, 4pm PST : https://t.co/g3KX0hKmQK","2020-04-02T22:41:43.000Z","en"
"94","For friends, family, and #community who share fears of getting grocery or just being outside because of #racism. #WashTheHate #Hateisavirus https://t.co/atOqj5cIOK","2020-04-02T21:41:46.000Z","en"
"95","Stop #HateSpeech. 
#Hateisavirus 
Its #TimeToBecomeNation","2020-04-02T20:42:01.000Z","en"
"96","Like him or not Trump is taking steps to combat this y’all thumbin on Twitter about his “lack of” is tearing the world apart. Only way to stop hate is to love! But y’all don’t know how to do that, do you? #hateisavirus","2020-04-02T19:38:18.000Z","en"
"97","Thank you to the @WashTheHate campaign for sharing so much positivity during these difficult times!

#HateIsAVirus #ActToChange

https://t.co/2XsZCqAfPT","2020-04-02T19:01:04.000Z","en"
"98","Artist @chungwoolrim is showing #Coronavirus related racism and its effects throught her work. 

Check out her cool artwork here, and remember to #BeKind.

#HateIsAVirus #ActToChange #IAmNotAVirus

https://t.co/Azt29OpErO","2020-04-02T17:00:40.000Z","en"
"99","My girlll @efiaodo1 is trying to help people during this pandemic time. She is so f**kin stressed about helping others especially those homeless and you want her down. That hate ain’t cute. 
#efiaodo #Hateisavirus","2020-04-02T16:53:03.000Z","en"
"101","""They were making me feel small. I felt unsafe, even in my own community where I walk every single day.”

#HateIsAVirus #ActToChange

https://t.co/S7HApeuw9X","2020-04-02T14:01:23.000Z","en"
"102","The discriminstion the likes of the Asian Community are facing in this present moment would NOT be occurring if Covid-19 were to have originated in the Western World. Cut the crap. Destroy the bigotry. Lets stop this racism and cease the division x #HateIsAVirus https://t.co/sQh6yqZEqr","2020-04-02T13:10:03.000Z","en"
"107","Media's hate cultivation by words manipulation:
1) Nizamuddin Markaz me 1000 log ""chhipe"" hue hai

2) Vaishnodevi me 453 log ""fasse"" hue hai.
.
Jai Hind 🇮🇳
#HateIsAVirus","2020-04-02T09:51:25.000Z","en"
"108","Keep making noise.  💪🏻💪🏻💛

#WashTheHate #HateIsAVirus #EndRacism #ChineseAreNotAVirus https://t.co/313Ex5SpxK","2020-04-02T08:21:26.000Z","en"
"109","@vaikaushik25 @ANI Before even they could know they are infected, the #GodiMedia persecuted them as #CoronaJihadis. They are scared of persecution, Who fault is that, this is not about Modi, this is about fear, fear of the hate. Which they will getting ample in India #HateIsAVirus. So stop it.","2020-04-02T07:43:57.000Z","en"
