"","text","created_at","lang"
"1","12 confirmed cases in the US. As of February 10, 7:43 a.m. EST
 
CAL 6 - IL 2 - MA 1 - WI 1 - AZ 1 - Wash 1

RT for more people to know and be aware of the #CoronavirusOutbreak

#BePrepared #IamNotAVirus #MondayMotivaton","2020-02-10T17:00:01.000Z","en"
"5","I got a kiss from a husband while his wife was standing besides him.

The 8th kiss is from (sorry I can’t read this handwriting, can someone help me?): “ YOLO. ”

I: “ What is YOLO ?”
He: “ You Live Only Once.”
#iamnotavirus #我不是病毒 #JeNeSuisPasUnVirus #china #conovirus #art https://t.co/Z6SSmWxrzS","2020-02-10T15:38:12.000Z","en"
"6","Thanks for Sarah, Robin, Phoebe and mom😌 for sharing great opinions with me. Sorry I can’t put some of your good photos in my story. Hope coronavirus can disappear with prejudice!  #iamnotavirus https://t.co/j99uNdf1Qv","2020-02-10T15:29:59.000Z","en"
"7","Rumors and discrimination are worse than coronavirus for Chinese overseas students. Please stop racism towards Chinese people #iamnotavirus Thanks for all my interviewees who shared their stories with me.  @intercardiff 
https://t.co/ULCkQpuQJ5","2020-02-10T15:05:01.000Z","en"
"8","From all the #Coronavirus confirmed cases, 2% of them ended up in decease.

Prevention is the key and stoping this rate from getting higher is the main goal.

RT for more people to know and be aware of the #CoronavirusOutbreak

#BePrepared #IamNotAVirus #MondayMotivaton https://t.co/SXVUfkJKfg","2020-02-10T14:58:30.000Z","en"
"9","According to @USATODAY Over the weekend, the outbreak surpassed the death toll from SARS as 910 people have died, including one American.

RT for more people to know and be aware of the #CoronavirusOutbreak

#BePrepared #IamNotAVirus #MondayMotivaton","2020-02-10T14:12:22.000Z","en"
"10","We’re not viruses' petition launched in #Netherlands

#WuHan #nCoV2019 #iamnotavirus #Coronavirus

https://t.co/2g2XcGnN3Q","2020-02-10T12:25:58.000Z","en"
"13","#CoronavirusNotChinavirus
60% of world's population is Asian. Not every Asian-looking is Chinese and not every Chinese-looking carries the virus. Those who do, need all our help, not our discrimination.

@GlobalShapers Shanghai Hub on #Xenophobia #JeNeSuisPasUnVirus #IAmNotAVirus https://t.co/z0kK9LcRZa","2020-02-10T10:15:32.000Z","en"
"16","The 7th kiss:
He passed and came back and left and came back and finally wanted me to put some cream below his eyes.who knows who’s the next standing in front of me.The 7th kiss is from Simone:
J’aime le cannabis sans THC.（I love Marijana withoutTHC.）#iamnotavirus #China https://t.co/NTnwGOw1RN","2020-02-10T08:31:01.000Z","en"
"22","... meanwhile CCP mouthpieces and Germany go: #IAmNotAVirus https://t.co/5UUm1VDF9s","2020-02-10T00:37:27.000Z","en"
