"","text","created_at","lang"
"1","Fuck you, fuck you, fuck you!

#StopAsianHate #IAmNotCovid19, #RacismIsAVirus, #HealthNotHate #MakeNoiseToday https://t.co/7YUx4Gi3zC","2021-03-18T09:55:45.000Z","en"
"2","I can’t even. 

#StopAsianHate #IAmNotCovid19, #RacismIsAVirus, #HealthNotHate #MakeNoiseToday https://t.co/1MkWV5K5o4","2021-03-18T09:43:23.000Z","en"
"3","What is this guys name?  WTH is wrong with him?  And he’s acting like the victim???

I don’t even care about his side of the story, there is NO situation that ends with me punching a 70 year old lady in the face. 

@shaunking 
#StopAsianHate #IAmNotCovid19, #RacismIsAVirus https://t.co/THtCO1BdXC","2021-03-18T09:28:58.000Z","en"
"6","@TeenVogue @SampaTasha Did black people speak up and protest against racism &amp; xenophobia of Asian Americans which increased due to COVID-19; or organize and show support to Asians through #IamNotAVirus #WashtheHate #RacismIsaVirus #IamNotcovid19? So your principles are 1 way, not 2-way?","2020-12-29T04:24:23.000Z","en"
"7","@mboutiquehotel staff yells viciously at us before we even step in the lobby ""you don't speak before I finish"", ""Covid19 you are Chinese"" (filed police report 2020-99693) #stopracism #florida #Miami #RacismIsAVirus #WashTheHate #IAmNotCOVID19 #Covid_19","2020-12-18T15:01:48.000Z","en"
"8","Worth reading the ENTIRE story. #COVID19

SIDE NOTE: I was born in #SANFRANCISCO to #Chinese IMMIGRANTS w/ NO #CCP ties, so DON'T politically &amp; violently attack me. #AsianAmerican #ChineseAmerican #StopAAPIHate #RacismIsAVirus #HateIsAVirus #IAmNotCOVID19 https://t.co/nZ4sVBefih","2020-08-18T18:05:06.000Z","en"
"9","This Is America:  An update, a call to action, and a message of hope and encouragement #ThisIsAmerica #hateisavirus #racismisavirus #washthehate #stopthehate #unapologeticallyasian #iamnotavirus #becool2asians #IAmNotCovid19 #HealthNotHate #MakeNoiseToday

https://t.co/N52tKoCH2j","2020-08-13T21:13:42.000Z","en"
"10","2200 reported cases of horrifying hate crimes against Asians cannot be ignored. Please RT to spread the message of oneness.
#FightVirusBias #WashTheHate #IAmNotCovid19 #RacismIsAVirus #HealthNotHate #MakeNoiseToday #StopTheVirusOfHate https://t.co/hai1yjmf4O","2020-08-06T16:13:24.000Z","en"
"12","Do inflammatory statements from leaders increase #racist behaviors? Insightful article by @tiffkhsu on Anti-Asian harassment.  #IAmNotCovid19 #RacismIsAVirus https://t.co/QqccIPNKlt","2020-07-22T19:51:30.000Z","en"
"13","The latest The China Business Daily! https://t.co/jLB9EDMw53 Thanks to @j0nathandavis #iamnotcovid19 #racismisavirus","2020-07-22T19:03:04.000Z","en"
