"","text","created_at","lang"
"1","Thx you @berniceking 4 carrying on your father's legacy of peace. #mlk #washthehate #RacismIsAVirus https://t.co/6T7a7RLEey","2020-03-22T04:57:59.000Z","en"
"3","@tzima8 It's terrible to hear that story of hate directed at you. I don't know if this will make you feel better, but I LOVED your villain turn in Rapid Fire with Brandon Lee in the early 90s. You've always done great work. Stay strong and safe. #WashTheHate","2020-03-22T04:39:42.000Z","en"
"4","@SVLeadershipGrp speaks out against anti Asian sentiments fostered by #Trump to cover up shortcomings in fight vs #coronavirus. Thank you @rongon2000 @FoothillPrez @JedYork &amp; more. #WashTheHate #aapi @DionLimTV @abc7kristensze @HelenZiaReal @CHSAmuseum  https://t.co/SQedNFTqm5","2020-03-22T04:37:15.000Z","en"
"5","Asian Americans join #WashTheHate campaign to raise awareness of discrimination amid coronavirus fears - GMA - via @GMA https://t.co/aasn08QII2","2020-03-22T04:02:40.000Z","en"
"6","A powerful message from my dear friend and hero #TziMa .  #StaySafe but #WashtheHate @tzima8 https://t.co/ORHsl9lZid","2020-03-22T03:49:26.000Z","en"
"7","@JennaOrleans @ABC This is not funny at all. #WashTheHate","2020-03-22T03:49:14.000Z","en"
"10","I believe this is one of your students: @USciences 
How are you holding her accountable? 

Read more: https://t.co/2KyYQ5dR7M

@NextShark
 #WashTheHate #COVIDIOT","2020-03-22T02:55:15.000Z","en"
"14","7 now in MI
""We are in an acceleration phase of the spread in Michigan. Testing isn't even relevant right now."" - Greg Marcarian, MD internal medicine

This virus knows no boundaries &amp; doesn't care what you look like
#ShutItDown #michigancoronavirus #FlattenTheCurve #WashTheHate","2020-03-22T02:02:02.000Z","en"
"15","@EricQuachSpeaks Organizations like Asian Pacific Policy and Planning Council have established a separate portal on their website dedicated to tracking anti-Asian American and Pacific Islander racist incidents during the viral outbreak. #WashTheHate
https://t.co/hqIwBhVdzp","2020-03-22T02:00:45.000Z","en"
"17","Don’t spread your germs and hatred onto others. 
Remember to🚰 #WashTheHate

Don’t use the #coronavirus as excuse to be an 🤬 https://t.co/P1oiu2TDAx","2020-03-22T00:56:19.000Z","en"
"18","Asian Americans join #WashTheHate campaign to raise awareness of discrimination amid coronavirus fears https://t.co/CL9wCApgOV","2020-03-22T00:48:01.000Z","en"
"20","@GovWhitmer Has extended closure date to 4/13/2020. Let's all pray this gets under control by then. 
https://t.co/0gNHvUio22
#ShutItDown #FlattenTheCurve #WashTheHate","2020-03-22T00:37:22.000Z","en"
"21","Here's a great video of people to not support. #WashTheHate https://t.co/37GDZQeA6Y","2020-03-22T00:32:53.000Z","en"
"22","@chicagosmayor #WashTheHate and don't mind the trolls, both non-Chicagoans and Russian-paid ones ;)","2020-03-22T00:21:53.000Z","en"
"23","I just need to say I love &amp; like all of you &amp; hope we all fare well through this ODD time we find ourselves. #UnitedWeWin #OneVoice1 #Resist #StrongerTogether #UnitedWeStand #WashTheHate #WhenThisIsAllOver 🌈✨🦄🇺🇸 https://t.co/KVba8adbxo","2020-03-22T00:19:30.000Z","en"
"24","@TheJulieBenson @ItsCeliaAu Sending lots of love and hugs Julie! Be safe and well! ❤️🙏🏻 #WashTheHate","2020-03-21T23:53:29.000Z","en"
"25","@senatemajldr Using my money to voting you out! 
#VoteBlueNoMatterWho @NYGovCuomo #CuomoForPresident 
#WashTheHate","2020-03-21T23:31:37.000Z","en"
"26","@CNN I support Asians.  
#VoteBlueNoMatterWho 
#WashTheHate","2020-03-21T23:29:57.000Z","en"
"27","@NYGovCuomo Thank you for your continuous effort,  calm, and diligence.  
#VoteBlueNoMatterWho @NYGovCuomo #CuomoForPresident 
#WashTheHate","2020-03-21T23:29:13.000Z","en"
"28","Thank you @chicagosmayor for calling out @realDonaldTrump @GOP @FoxNews efforts to distract and irresponsibly scapegoat Asian Americans. Let's #WashTheHate and overcome #COVID19 together! #twill https://t.co/5KeQj8fr16","2020-03-21T23:28:53.000Z","en"
"29","Asian American Celebrities respond to racism and violence with #WashTheHate campaign @WashTheHate

https://t.co/8oy3cewhly","2020-03-21T23:20:48.000Z","en"
"30","@RealJamesWoods And you are profiting from HATE! #WashTheHate","2020-03-21T23:05:10.000Z","en"
"31","@__CassidyRae__ @CimotaMiles @RealJamesWoods @RealSaavedra And you eat chicken and beef and fish &amp; etc., etc., etc.,
But, you are also spreading racist idiocy. #WashTheHate
https://t.co/lNsqnDfKpl","2020-03-21T23:04:05.000Z","en"
"33","There’s a time to post cute stuff and a time to fight for things you believe in. STOP IT, RIGHT NOW! #racismisavirus #washthehate","2020-03-21T22:48:07.000Z","en"
"35","Tzi Ma, an American actor shares a messages after being accosted in a Pasadena Whole Foods.  Let’s #WashTheHate  😍😷💪🙏🌎 https://t.co/UTtpEZ6vuz","2020-03-21T22:35:49.000Z","en"
"36","Asian Americans join #WashTheHate campaign to raise awareness of discrimination amid coronavirus ... https://t.co/2hQAUDfdmY via @GMA","2020-03-21T22:26:00.000Z","en"
"37","@tzima8 It's always the racists that are so damn stupid. #WashTheHate","2020-03-21T22:23:45.000Z","en"
"38","Virtually the ENTIRE #AAPI community is in danger of being harassed, even physically attacked.

Using a racist term for the virus is endangering an ENTIRE race, and this is why we ask you to use the correct term, @marcorubio.

#WashTheHate https://t.co/A4a546jT6Z","2020-03-21T22:16:05.000Z","en"
"39","2. The #drawnanorange challenge.
God i tweet like a grandma learning how to text.
#QuaratineLife #drawdaily #illustration #ComicArt #covid19 #trump #ChineseVirus #ChinaVirus #fuckracism #WashTheHate https://t.co/NodYpqFAvb","2020-03-21T22:07:05.000Z","en"
"41","Speak out against attacks on Asian Americans in the U.S. over this health crisis.
Please.
Stop the Insanity.
#WashTheHate

https://t.co/tq4mfVJ6Xx","2020-03-21T21:44:53.000Z","en"
"42","Being divisive and hateful will not achieve anything. To overcome the #COVID19 pandemic, let's unite, wash our hands and #WashTheHate. https://t.co/JnsSJxDiZJ","2020-03-21T21:43:22.000Z","en"
"43","@Kenahearn3 @WendyJGordon @PeterAlexander Try this #WashTheHate","2020-03-21T21:42:02.000Z","en"
"44","Let's show compassion to each other and #WashTheHate. https://t.co/RaNKVtqvqo","2020-03-21T21:34:02.000Z","en"
"45","I experienced a lot of racism growing up.Those kids r now  t/grownups in t/world.I wish I cld say things have improved 4 Asian-Americans as we started seeing people who look like us in t/media &amp; entertainment worlds. Sadly,not much has changed #WashTheHate
https://t.co/roRBel6Hvj","2020-03-21T21:29:12.000Z","en"
"47","Asian Americans join #WashTheHate campaign to raise awareness of discrimination amid coronavirus fears | GMA https://t.co/ezYF53OdKM","2020-03-21T21:21:29.000Z","en"
"48","""Hate will get you sick even if the virus does not"".

#WashTheHate #ActToChange https://t.co/SXTZD2oMdI","2020-03-21T21:10:39.000Z","en"
